OBJECT_ID,RA,DEC,1_mag_0,1_mag_err_0,DATE-OBS_1_mag_0
216693366510242432,55.8577077060573,32.2160614325422,17.600771,0.13389128,2009-03-19T05:12:51.935
216693503949407104,55.90372205734,32.20994597547,18.170307,0.1948155,2009-03-19T05:12:51.935
216693469589663488,55.8970345935386,32.198930260963,18.9504,0.34399884,2009-03-19T05:12:51.935
216693435229928832,55.90894089261,32.20716557051,18.95302,0.3446917,2009-03-19T05:12:51.935
216693473884976128,55.89563607809,32.19741169246,19.277621,0.44441978,2009-03-19T05:12:51.935
216693572668675328,55.9326167044127,32.2170296464322,22.234951,5.8584273,2009-03-19T05:12:51.935
216693538308920832,55.9228984018426,32.2058917451536,16.434098,0.068138876,2009-03-19T05:12:51.935
216693538309148160,55.9264086057625,32.2132537061851,18.760252,0.29778104,2009-03-19T05:12:51.935
216693538308923904,55.915000994802,32.208025293214,19.144673,0.40003787,2009-03-19T05:12:51.935
216693538308919168,55.917529702186,32.2049099032388,16.882834,0.087247936,2009-03-19T05:12:51.935
216693576965007616,55.9323280149748,32.2278900936184,15.577027,0.043799945,2009-03-19T05:12:51.935
216693572668689408,55.9303411220638,32.2297325135422,16.459914,0.069090598,2009-03-19T05:12:51.935
216693680044227072,55.8776468912755,32.2184010465825,15.610977,0.044548302,2009-03-19T05:12:51.935
216693783121878400,55.87763714402,32.2234992391,17.812731,0.153344,2009-03-19T05:12:51.935
216693744468170112,55.86562495601,32.21599339509,17.562602,0.13072245,2009-03-19T05:12:51.935
216693714403964928,55.88852454886,32.21798771247,15.56291,0.043492947,2009-03-19T05:12:51.935
216693680042667008,55.8780984581369,32.2178196251933,15.65402,0.045517971,2009-03-19T05:12:51.935
216693744467371520,55.8720415312741,32.2198881118153,16.557626,0.072841302,2009-03-19T05:12:51.935
216693710107637248,55.8780599673713,32.2235105461944,17.813661,0.15343679,2009-03-19T05:12:51.935
216693817483279872,55.9006889341331,32.2257499875565,12.303333,0.009311439,2009-03-19T05:12:51.935
216693881906345984,55.8869486736146,32.2426915154547,17.482746,0.12439017,2009-03-19T05:12:51.935
216693813186862080,55.8942119262121,32.2351414727473,18.763219,0.29844412,2009-03-19T05:12:51.935
216693851841828864,55.90753877228,32.24269616837,20.013917,0.81548494,2009-03-19T05:12:51.935
216693851841828992,55.91322004883,32.24635685242,19.562777,0.5596411,2009-03-19T05:12:51.935
216694023640037632,55.9780312981204,32.2027897247097,18.571692,0.25899766,2009-03-19T05:12:51.935
216694023641607552,55.9718820759048,32.2004738835232,17.15772,0.10225231,2009-03-19T05:12:51.935
216694058001342336,55.9886802487661,32.2160072276287,14.351786,0.024208706,2009-03-19T05:12:51.935
216694019345478016,55.96670322807,32.20041543983,18.130217,0.18952963,2009-03-19T05:12:51.935
216693954922130432,55.9954374327329,32.1908800396535,12.292854,0.0092664199,2009-03-19T05:12:51.935
216693984986225408,55.9916877425447,32.1956833799611,17.478054,0.12403017,2009-03-19T05:12:51.935
216693984985522432,55.9950615310375,32.2069271900165,17.730639,0.14541711,2009-03-19T05:12:51.935
216694023640486400,55.9740346114251,32.2047177461473,19.825302,0.6956125,2009-03-19T05:12:51.935
216694023640485760,55.97617868658,32.19629107614,17.805145,0.15258932,2009-03-19T05:12:51.935
216694058000225024,55.99264248953,32.21093743692,19.173125,0.409095,2009-03-19T05:12:51.935
216694161078979072,55.9898495173585,32.2222908690233,20.301527,1.0431503,2009-03-19T05:12:51.935
216694122424704000,56.0222540252337,32.2197383637627,17.937865,0.16648857,2009-03-19T05:12:51.935
216694195440291328,55.9988008337292,32.2341480480258,13.428612,0.015696308,2009-03-19T05:12:51.935
216694195439104768,56.0108877888738,32.2375355882555,19.161655,0.40541575,2009-03-19T05:12:51.935
216694092360145920,56.01198338081,32.20769447873,17.963579,0.16936037,2009-03-19T05:12:51.935
216694126720813696,56.0176794676523,32.2304997389387,13.728077,0.018052374,2009-03-19T05:12:51.935
216694264159774080,55.9719520360027,32.2166708132795,15.750506,0.047780113,2009-03-19T05:12:51.935
216694229798468608,55.9555965188766,32.2093064532044,19.130934,0.39574669,2009-03-19T05:12:51.935
216694298519511168,55.9526143536101,32.2307505643403,14.98546,0.03277262,2009-03-19T05:12:51.935
216694298519513088,55.9463570652694,32.2225360079964,15.392826,0.03997821,2009-03-19T05:12:51.935
216694264158195072,55.979648792934,32.2240315132504,17.273524,0.1095278,2009-03-19T05:12:51.935
216694225503544320,55.9635094012756,32.2192234722986,12.143988,0.0086500342,2009-03-19T05:12:51.935
216694259863660544,55.9816898709901,32.2237010555829,19.810113,0.68682771,2009-03-19T05:12:51.935
216694264158551936,55.9784331592169,32.2279596211743,19.293612,0.45012482,2009-03-19T05:12:51.935
216694431662158080,55.9730373241367,32.2382764339356,17.341456,0.1140973,2009-03-19T05:12:51.935
216694362942684288,55.9922804018767,32.2324351566198,15.715407,0.046942699,2009-03-19T05:12:51.935
216694466021913984,55.9815494591577,32.2585665519329,18.184906,0.19678517,2009-03-19T05:12:51.935
216694401598720768,55.996185655178,32.2392538465378,13.221252,0.014251549,2009-03-19T05:12:51.935
216694367237872256,55.9838847153061,32.2341955413217,19.780694,0.67015544,2009-03-19T05:12:51.935
216694397302628992,55.9923199303775,32.2423426147343,15.394526,0.040011719,2009-03-19T05:12:51.935
216694401597125888,55.9897755723227,32.2469138586928,16.064174,0.056079572,2009-03-19T05:12:51.935
