_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.0719141658160	+32.0042518496035	056.07193721147	0.9649	+32.00421611780	0.4211	216675430727449088	2.1832	0.8470	4.539	1.998	-8.299	1.031	0	2.4439e+02	1.3243e+00	19.7182	0.0059	5.2889e+01	8.9734e+00	21.0430	0.1842	4.9612e+02	1.0975e+01	18.0230	0.0240	3.0200							
056.0107611628281	+32.0263778745157	056.01079409169	0.4281	+32.02635245452	0.2012	216675744260806784	1.2537	0.4525	6.484	0.860	-5.904	0.469	0	4.8658e+03	8.3288e+00	16.4705	0.0019	4.9245e+02	9.8358e+00	18.6205	0.0217	7.6653e+03	2.3690e+01	15.0506	0.0034	3.5699			3643.54	2.8980	1.4875		
056.0940058764300	+32.0243570556200	056.09400587643	2.0060	+32.02435705562	0.7900	216675843044378624							0	1.1857e+02	1.1183e+00	20.5034	0.0102	4.8619e+01	1.3684e+01	21.1344	0.3056	2.9232e+02	8.2631e+00	18.5973	0.0307	2.5371							
056.0816311885388	+32.0402336109866	056.08163604430	0.6358	+32.04020883682	0.2847	216676014842489856	0.8836	0.5584	0.956	1.333	-5.754	0.704	0	4.1869e+02	1.5139e+00	19.1336	0.0039	8.8689e+01	1.7229e+01	20.4817	0.2109	8.0174e+02	1.1679e+01	17.5018	0.0158	2.9799							
056.0940449610662	+32.0315822562820	056.09407949669	0.2151	+32.03155352962	0.0964	216675950419235840	4.0035	0.2138	6.800	0.476	-6.672	0.254	0	9.1738e+03	1.8499e+01	15.7820	0.0022	1.1819e+03	1.8814e+01	17.6699	0.0173	1.3635e+04	8.9556e+01	14.4253	0.0071	3.2447			4278.05	1.5710	0.9230		
056.0985232057793	+32.0313076245285	056.09853297730	1.6421	+32.03130182064	0.7032	216675946123675648	2.5253	1.3491	1.924	3.409	-1.348	1.724	0	1.4361e+02	1.2136e+00	20.2954	0.0092	5.5383e+01	7.7777e+00	20.9930	0.1525	3.7949e+02	1.0605e+01	18.3139	0.0303	2.6790							
056.0945858965600	+32.0284071426800	056.09458589656	1.8873	+32.02840714268	0.7535	216675946123594240							0	1.3539e+02	1.2240e+00	20.3594	0.0098	3.9343e+01	6.3897e+00	21.3642	0.1763	3.5033e+02	1.3129e+01	18.4007	0.0407	2.9635							
056.1110822148464	+32.0434404428077	056.11110634212	0.3967	+32.04340932656	0.1722	216675980482752768	3.5186	0.3657	4.750	0.836	-7.227	0.436	0	7.4264e+02	3.4753e+00	18.5114	0.0051	1.2240e+02	1.0560e+01	20.1319	0.0937	1.3374e+03	2.5448e+01	16.9462	0.0207	3.1857							
056.0970795729828	+32.0318060190049	056.09709299620	0.5146	+32.03177265095	0.2232	216675946123009536	3.0409	0.4633	2.643	1.089	-7.750	0.565	0	4.8621e+02	1.6064e+00	18.9713	0.0036	7.6272e+01	9.5116e+00	20.6455	0.1354	9.0457e+02	1.0305e+01	17.3708	0.0124	3.2747							
056.0564566360615	+32.0502882564666	056.05645903373	0.3004	+32.05020225730	0.1353	216676186640925824	3.2040	0.2814	0.472	0.619	-19.974	0.333	0	1.0572e+03	1.7933e+00	18.1279	0.0018	2.3716e+02	1.1415e+01	19.4138	0.0523	1.4448e+03	1.0914e+01	16.8624	0.0082	2.5514							
056.0644802216583	+32.0430881075172	056.06445376303	0.4175	+32.04307396377	0.1812	216676117921705984	0.3559	0.3856	-5.209	0.885	-3.285	0.464	0	7.7925e+02	2.2024e+00	18.4592	0.0031	7.7971e+01	5.4908e+00	20.6216	0.0765	1.4707e+03	1.2667e+01	16.8431	0.0094	3.7785							
056.0484083817005	+32.0536576587302	056.04843094195	0.3835	+32.05362706776	0.1481	216676190937404160	2.3985	0.3759	4.441	0.738	-7.105	0.386	0	1.4520e+03	2.6083e+00	17.7835	0.0019	1.2579e+02	5.9404e+00	20.1023	0.0513	2.5512e+03	1.6021e+01	16.2451	0.0068	3.8572							
056.0383374219100	+32.0438198454400	056.03833742191	4.0518	+32.04381984544	1.3642	216676152281444480							0	1.4139e+02	2.0638e+00	20.3123	0.0158	6.3905e+01	1.0068e+01	20.8375	0.1710	5.5291e+02	1.5461e+01	17.9053	0.0304	2.9323							
056.0740261322466	+32.0799159572743	056.07405582317	0.2762	+32.07988935325	0.1115	216676328376452352	3.0103	0.2831	5.843	0.605	-6.179	0.328	0	2.1130e+03	4.4437e+00	17.3761	0.0023	1.7888e+02	6.2574e+00	19.7200	0.0380	3.6844e+03	2.0782e+01	15.8460	0.0061	3.8740							
056.0756682389579	+32.0825093653392	056.07569604037	0.2241	+32.08248117687	0.0916	216676328376452224	2.1049	0.2292	5.471	0.490	-6.547	0.268	0	3.1188e+03	8.3148e+00	16.9534	0.0029	2.7765e+02	5.9201e+00	19.2426	0.0232	5.3666e+03	5.0306e+01	15.4377	0.0102	3.8050			3709.00	1.6630	0.8683	0.58	0.056
056.1925970476107	+32.0535278428315	056.19257565071	0.1394	+32.05352343825	0.0558	216676534534783488	1.1287	0.1463	-4.212	0.331	-1.023	0.164	0	3.1431e+03	3.9327e+00	16.9450	0.0014	6.9634e+02	1.5726e+01	18.2443	0.0245	4.0728e+03	1.2117e+01	15.7372	0.0032	2.5071			3585.82	2.5217	1.2480	1.20	0.216
056.1754782413259	+32.0493545351194	056.17546575529	0.1499	+32.04934480887	0.0609	216676568894523520	0.2046	0.1512	-2.458	0.347	-2.259	0.174	0	4.8147e+03	4.9138e+00	16.4819	0.0011	7.0560e+02	1.3241e+01	18.2300	0.0204	6.9883e+03	3.3909e+01	15.1510	0.0053	3.0790			4035.29	2.8487	1.4345		
056.1709964177072	+32.0380265295641	056.17109916334	0.7489	+32.03791155405	0.2971	216676564598303104	2.5416	0.7818	20.229	1.500	-26.704	0.753	0	3.0929e+02	1.6129e+00	19.4625	0.0057	8.6804e+01	1.1310e+01	20.5050	0.1415	5.9306e+02	1.2022e+01	17.8292	0.0220	2.6759							
056.1348520834143	+32.0576326248626	056.13487954197	0.6371	+32.05760065181	0.2718	216676736397001472	4.0217	0.6621	5.405	1.305	-7.426	0.671	0	3.4951e+02	1.5685e+00	19.3297	0.0049	8.1717e+01	6.4488e+00	20.5706	0.0857	7.3112e+02	1.2512e+01	17.6020	0.0186	2.9687							
056.1486531947702	+32.0509893484639	056.14867351923	0.1949	+32.05095892541	0.0834	216676671973739392	3.1942	0.1993	4.001	0.404	-7.066	0.216	0	1.7114e+03	4.4558e+01	17.6050	0.0283	2.5943e+02	2.2282e+01	19.3163	0.0932	2.8172e+03	2.3444e+02	16.1374	0.0904	3.1789							
056.1289775179200	+32.0455925433600	056.12897751792	2.0344	+32.04559254336	0.8373	216676702037920128							0	1.0994e+02	1.0397e+00	20.5855	0.0103	8.0313e+01	1.0805e+01	20.5894	0.1461	2.8017e+02	8.3230e+00	18.6433	0.0323	1.9461							
056.1608241832586	+32.0851292451092	056.16084650735	0.2016	+32.08509850775	0.0747	216676878132165632	2.5660	0.2187	4.393	0.503	-7.139	0.232	0	5.1090e+03	6.2890e+00	16.4175	0.0013	5.1231e+02	1.1373e+01	18.5775	0.0241	8.3097e+03	2.6739e+01	14.9630	0.0035	3.6146			3883.01	1.4950	0.8160	0.52	0.055
056.1720352017136	+32.0729616493837	056.17204868178	1.4119	+32.07296041369	0.4967	216676809411470592	-3.0382	1.6761	2.653	3.090	-0.287	1.634	0	1.3331e+02	9.9298e-01	20.3762	0.0081	8.2394e+01	7.8308e+00	20.5616	0.1032	2.6030e+02	1.0932e+01	18.7233	0.0456	1.8384							
